1000,0.0003977,0.0002494,0.0006044,-1073.8,-1073.56,-1073.94
11000,0.0026088,0.0026846,0.0056309,-1074.7,-1074.4,-1074.6
21000,0.0056275,0.0051893,0.0124694,-1074.27,-1075.26,-1074.66
31000,0.0076438,0.0084897,0.017891,-1074.53,-1075.29,-1074.67
41000,0.0094328,0.0098179,0.0230801,-1075.82,-1074.8,-1074.68
51000,0.0117035,0.0121807,0.0265439,-1074.58,-1074.77,-1074.69
61000,0.0140017,0.0145885,0.0314766,-1074.9,-1074.36,-1074.71
71000,0.0138282,0.0139273,0.0320266,-1074.22,-1074.66,-1074.72
81000,0.0150925,0.0162923,0.0368658,-1075.03,-1074.89,-1074.76
91000,0.0169467,0.0177599,0.0403012,-1074.29,-1074.77,-1074.75
101000,0.0187926,0.0195288,0.0487517,-1074.48,-1074.9,-1074.76
111000,0.0216107,0.0232367,0.0520168,-1074.87,-1074.69,-1074.76
121000,0.0231707,0.0249386,0.058532,-1075.45,-1074.81,-1074.75
131000,0.0290746,0.0310428,0.0676295,-1075.22,-1074.83,-1074.76
141000,0.0280245,0.0288692,0.0741726,-1076.16,-1074.98,-1074.76
151000,0.0319085,0.0330039,0.0740322,-1074.19,-1074.82,-1074.76
161000,0.0302487,0.0314025,0.0762723,-1074.41,-1074.81,-1074.77
171000,0.0322573,0.0329604,0.0793456,-1074.25,-1074.76,-1074.78
181000,0.0352841,0.0359878,0.0915033,-1074.85,-1074.78,-1074.78
191000,0.0476101,0.0479695,0.0999302,-1074.59,-1074.78,-1074.78
201000,0.0388502,0.0404942,0.0933686,-1074.67,-1074.55,-1074.79
211000,0.0401683,0.0416017,0.116612,-1074.55,-1074.94,-1074.78
221000,0.0465289,0.0434446,0.108859,-1074.48,-1074.86,-1074.79
231000,0.0453767,0.0448106,0.11043,-1075.4,-1074.95,-1074.78
241000,0.0468095,0.0482166,0.118299,-1074.86,-1074.71,-1074.78
251000,0.0478081,0.0501912,0.118328,-1074.85,-1074.77,-1074.78
261000,0.0488167,0.050968,0.135094,-1074.62,-1074.73,-1074.78
271000,0.0533776,0.0549031,0.132628,-1075.3,-1074.85,-1074.78
281000,0.0535315,0.0570478,0.137238,-1074.76,-1074.74,-1074.78
291000,0.0556782,0.0576441,0.13906,-1074.96,-1074.78,-1074.79
301000,0.0558345,0.0587496,0.141449,-1075.05,-1074.88,-1074.78
311000,0.0918823,0.0910551,0.177977,-1074.44,-1074.71,-1074.79
321000,0.0698893,0.0731519,0.158943,-1074.78,-1074.65,-1074.78
331000,0.0621392,0.0640104,0.224066,-1074.59,-1074.81,-1074.78
341000,0.0664745,0.0686315,0.175015,-1074.44,-1074.62,-1074.78
351000,0.0687078,0.0707917,0.177992,-1074.65,-1074.82,-1074.78
361000,0.0691946,0.0705122,0.176483,-1074.84,-1074.73,-1074.78
371000,0.0704707,0.072917,0.182813,-1074.7,-1074.8,-1074.78
381000,0.071815,0.0755248,0.192341,-1074.54,-1074.84,-1074.78
391000,0.073231,0.0766271,0.191576,-1074.53,-1074.82,-1074.78
401000,0.0758933,0.0787068,0.196652,-1074.2,-1074.58,-1074.77
411000,0.0769925,0.08033,0.200658,-1075.35,-1074.81,-1074.77
421000,0.0790926,0.0830541,0.205438,-1074.48,-1074.78,-1074.77
431000,0.0809116,0.0856028,0.209852,-1074.82,-1074.83,-1074.77
441000,0.0817849,0.0868598,0.21581,-1075.03,-1074.8,-1074.78
451000,0.0853305,0.0886023,0.223428,-1074.57,-1074.74,-1074.78
461000,0.085865,0.0897846,0.246015,-1074.67,-1074.77,-1074.78
471000,0.0932036,0.116036,0.256794,-1074.18,-1074.67,-1074.78
481000,0.090415,0.0937886,0.235612,-1074.6,-1074.68,-1074.78
491000,0.0999736,0.0977862,0.248053,-1074.84,-1074.79,-1074.78
